ID_g;ID_File;LWD63;LWD125;LWD250;LWD500;LWD1000;LWD2000;LWD4000;LWD8000;P10;P25;P50;P75;P90;Alpha;T
29;1;45,92600173;53,55006882;62,77806107;69,4219841;59,84711457;53,88674968;54,47337645;46,70256642;-61,06103874;-53,0425415;-46,22659905;-40,42590682;-36,00565154;4,5;10
30;1;55,00779871;58,8153;65,57470441;67,70619766;58,78551236;53,10403535;48,31732983;43,57051081;-59,42763781;-51,32119857;-44,73392668;-40,01804365;-36,92266109;5;11
31;1;46,08443726;51,71152985;55,592421;50,11291835;49,87245004;43,79113312;37,05621565;37,29087256;-71,22414851;-63,46054508;-57,24474842;-52,24719896;-48,51089647;5,5;12
32;1;51,60903848;56,24040866;54,55917777;51,78834216;46,40530005;43,426749;38,03909869;39,09567312;-72,24719896;-64,28839879;-57,43994517;-52,5791842;-48,3015878;6;13
33;1;56,85339755;75,92984625;73,24409562;74,47275621;71,62717054;63,24646347;54,58160039;48,46940169;-49,80288139;-41,58574576;-35,31427239;-30,62745802;-27,29325628;6,5;14
34;1;51,70121905;71,31236317;64,9377966;72,33622676;67,98591485;54,68696205;45,90271896;48,99365103;-56,32959861;-48,16479931;-41,39691463;-35,95558864;-32,23634838;7;15
35;1;53,35549601;72,72897796;71,84738841;71,12876902;65,43789486;56,8357187;51,98555934;42,49071199;-53,53201688;-45,59842976;-39,25563438;-34,59173137;-30,79025829;7,5;16
36;1;52,00096753;69,18097771;68,86589126;74,07988691;65,04005884;47,78752068;41,36075773;34,27423795;-60,7665736;-52,24719896;-43,6602295;-35,23733752;-30,53781956;8;17
37;1;54,45839687;72,01734572;67,26951961;71,38006855;64,55391769;50,68605202;43,20253599;36,82152423;-56,32959861;-47,83196588;-40,56623119;-35,10054903;-31,498669;8,5;18
38;1;55,47639423;72,11490143;66,81400675;71,56162204;74,40795349;64,08273061;56,4946285;52,25034214;-54,32218771;-46,05196539;-38,31133726;-32,69272685;-28,95270848;9;19
39;1;44,94560518;60,28617958;55,72862075;61,76902362;62,84779593;49,90543962;42,69318364;35,72627474;-66,78717352;-58,94496422;-52,35645687;-46,22659905;-40,97164629;9,5;20
40;2;41,6551895;44,89768852;61,5741173;61,86553465;57,66946804;57,86715351;47,12427347;37,33072638;-70,3089987;-48,51089647;-35,3918948;-25,32992639;-21,34105663;0;1
41;2;33,71148936;42,69708702;59,17901978;60,42472112;64,50652658;60,57709256;53,7360279;45,3504405;-46,44650673;-38,1813714;-29,88521272;-23,60786831;-19,5423006;0,5;2
42;2;38,19972301;49,73990299;60,97661602;67,72551624;55,82685755;55,85164516;42,42943235;35,5952854;-57,84401289;-48,16479931;-32,87753999;-22,98894948;-17,82542018;1;3
43;2;35,82744337;53,09519029;61,45033352;64,24152413;51,89180731;50,72282335;49,66354976;42,63664995;-45,59842976;-37,26407188;-30,23978806;-24,3101407;-20,16781104;1,5;4
44;2;30,41168337;41,59628146;50,75991933;56,62799579;42,3827219;50,98720011;37,16964627;32,36828308;-60,20599913;-51,92743685;-43,98959179;-35,92652095;-29,36350135;2;5
45;2;28,46865831;46,13509263;60,06555039;64,67488991;59,25497044;52,53291607;48,01027693;50,43571689;-48,58180209;-40,0446467;-31,89609867;-24,75223204;-19,87813053;2,5;6
46;2;29,31658717;30,53963696;39,76779262;46,952822;59,09581397;52,49916955;35,61028998;36,95624625;-61,06103874;-51,92743685;-41,77877347;-32,77309918;-26,68356327;3;7
47;2;31,42274521;48,65324073;50,77099079;61,66761989;52,6174557;45,19286651;39,50995607;44,33243253;-59,67942036;-48,37079844;-39,07505622;-30,29164427;-24,17192373;3,5;8
